"id","teks","label"
"1","Kaka tidur yaa, udah pagi, gaboleh capek2","no"
"2","makan nasi padang aja begini badannya","no"
"3","yang aku suka dari dia adalah selalu cukur jembut sebelum manggung","yes"
"4","Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa","no"
"5","Manusia apa bidadari sih herann deh cantik terus 😌♥️","no"
"6","@ayu.kinantii isyan skrg berubah ya:( baju nya nakal","yes"
"7","Gemesnya isyan kayak tango, berlapis lapis ciaaaa","no"
"8","Makin jelek aja anaknya, padahal ibu ayahnya cakep2","yes"
"9","Kok anaknya kayak udah tua gitu ya mukanya kk tasya","yes"
"10","Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya","yes"
"11","Muka nya muka kolot wkwk bukan muka bayi2 lucu gt","yes"
"12","Udah gila sekarang ini orang wkwk, udah jomblo jadi psikolog ga laku, ya jadilah seperti itu","yes"
"13","Lo sintingnya udah tingkat dewa","yes"
"14","Sepertinya Lutfi setelah putus dgn salsa seperti orang stress","yes"
"15","ANAK TOLOL INI MULAI AKTIF YA BUND","yes"
"16","bisa mati aja ga? gedeg gua liat lu. ANJIM","yes"
"17","Woy Lutfi asu , sok asik Lo ANJING !","yes"
"18","Apasih kontol berantem aja lah ayo bngst @lutfiagizal","yes"
"19","Ibu kamu pelakor plus hamil di luar nikah ya? Pantesan anaknya kyk gini modelannya","yes"
"20","Anaknya udh pinter, maknya yang kelempengan.. berasa masih baby, tingginya azka aj melebihi mamanya..","yes"
"21","Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu","no"
"22","Setengah iri setengah jadi motivasi ini","no"
"23","Ancur hidup lu kalau sama dia… Sumpah..","yes"
"24","serem banget muka lo mel kayak ayam potong merah banget","yes"
"25","Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw","no"
"26","Kamu emang cocoknya jadi pengusaha kuliner udah fixs. Semoha lancat terusssss","no"
"27","Tak sejelek IMAGE Owner ya..? Artis ups bukan Artis? Hallo secara tidak langsung semua orang itu tau IMAGE lu jelek gentong!","yes"
"28","Apaan sih gak jelas hidupnya","yes"
"29","Sebelum aku Unfoll, aku mau bilang NAJISSSS","yes"
"30","muka lu sensual tapi norak kenapa dah","yes"
"31","Udah gk jaman ngebully orang hey netizen mending ngaca dari kekurangan sendiri","no"
"32","Kalau pas penempatannya, sebenernya kamu imut banget loh mel.","no"
"33","Cakep kaga jelek iya HAHAH","yes"
"34","jari jari kaki kayak jarinya tukang panggul","yes"
"35","Kakinya kek lagi hamil tua ya bun, semacam kaki gajah @ayuugsia","yes"
"36","Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,","no"
"37","Ini diedit biar langsing padahal mah klo live bomber badannya","yes"
"38","Kakinya gedong sayyy kek kaki jantan… Upp kan dia suka berbaur ama warwerwor.. Mahluk astral.. Yg kakinya gedong","yes"
"39","Bagusan foto pakai masker drpd gak pakai masker","no"
"40","@rosameldianti_ kakak foto sebelum ini. kenapa Memeknya Keliatan Tebal???? Memeknya kakak Lagi Bengkak yah???","yes"
"41","Bra nya kedodoran kak make ukuran gede yaa","yes"
"42","Nah ini cantik seneng. Usahanya membuahkan hasil. Semangat ya mel semoga menjadi pribadi yang lebih baik lagi","no"
"43","mba bisa gk sih, kalau gk merem melek gitu matanya kaya orang cacingan","yes"
"44","Semoga lancar terus usahanya mel","no"
"45","Cantik banget kalo meldi muka natural kek gini","no"
"46","Lu diem aja cantik mel kalo ga banyak gaya serius","no"
"47","Kaku kek kanebo kering hahaha","yes"
"48","Semakin glowing say… natural kayak gini bagus tambahin prestasi nya ya say","no"
"49","Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek","yes"
"50","Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh","yes"
"51","Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip","yes"
"52","Iya lo kamu mirip monyet mel","yes"
"53","Bagusan pantat panci aing atuh anjir","yes"
"54","Ya emang ga ada yang sama soalnya muka kamu sama dengan muka badak, muka beton, ga ada malu,,,","yes"
"55","Kok mbak meldi sekarang tambah cantik ya rahasianya apa..","no"
"56","Lengannya gempal banget sih HAHA","yes"
"57","Fix yang komen semua nyela","no"
"58","Udah ka gausah digubris gausah dipikirin. Bersyukur aja sama nikmat tuhan yang udah dikasih ke kaka. Gausah juga ngatain orang ka, tetep bersyukur atas nikmatnya","no"
"59","Jari jari nya gede gede banget, apalagi pas ngiklan makan ikan danau hambar, jarinya kayak jempol semua hawak bener","yes"
"60","Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi","yes"
"61","Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan","no"
"62","Ka mel gausah merendahkan orang lain. Bersyukur aja diatas langit juga masih ada langit lagi","no"
"63","Mukanya kalau gak dibantu kamera dekil dan kumel","yes"
"64","Semua wanita cantik, jangan suka merasa lebih ah","no"
"65","Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?","yes"
"66","Gila Netizen pada sempurna ngehina orang terus","no"
"67","Semua dah pada ngembang… habis di berapa cowo meldi?... enak ya di otak atik","yes"
"68","Karena muka kayak elo pasaran dan murah…","yes"
"69","Muka buluk kepedean lagi.. muka udah tua","yes"
"70","Muka lu kaya tai wkwkwk","yes"
"71","Sakit jiwa ini upil gajah… Kasihan","yes"
"72","Jelek macam buntut kuali hahaha","yes"
"73","Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…","no"
"74","Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya","no"
"75","Mbak mell sehat dan sukses ya","no"
"76","Aamiin. Doa baik juga untuk Meldi","no"
"77","Selamat tahun baru mbak, semoga jadi pribadi yang lebih baik amin","no"
"78","Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip","no"
"79","Pengambilan fotonya sudah bagus mantap dan keren.. tinggal pengambilan ARWAH nya aja yang belum","yes"
"80","Nggak ada cantik-cantik nya hahaha","yes"
"81","Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini","yes"
"82","Lama lama mirip dewi persik ya","no"
"83","pada julid padahal kan meldi gak nyusahin kalian","no"
"84","ini foto apa w masukin museum aja ya ga ada pantas2nya","yes"
"85","Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana","yes"
"86","Lagu lu ga ada yang laku ya mel??","yes"
"87","Lututnya masih hitam gosok maning biar tambah cling dan cantik","yes"
"88","Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya","no"
"89","Tambah cantik aja rosa meldianti","no"
"90","Jadi diri sendiri, jangan jadi ular apalagi dugong","yes"
"91","Saya kok suka ya sama mereka harmonis","no"
"92","Cantik banget kalau pakai baju kayak gitu","no"
"93","Jujur ya kamu kalo anteng ga buat masalah cantik mel","no"
"94","Cowoknya ga ada cakep cakepnya","yes"
"95","Di foto tirus.. Kalo di video wariorr kok mukanya kek donat gak ada bentuknya","yes"
"96","Dari sekian banyak foto yang diposting, ini yang paling cantik","no"
"97","Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang","yes"
"98","Itu muka kayak penuh tekanan banget","yes"
"99","@rosameldianti_ cowokmu wajah nya culun dan cupu kayak om2","yes"
"100","Masyaallah cantik terlihat sopan dan anggun","no"
"101","Kang ojek kali belang tangannya","yes"
"102","Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin","no"
"103","Dia memutuskan menjadi tumbal apartment","yes"
"104","makin cantik mel, semangat dietnyaa","no"
"105","Itu tangan apa paha haha….","yes"
"106","Mel disini kamu keliatan cakep","no"
"107","Mukanya kayak lagi ngeden pas boker","yes"
"108","Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak… hahhaaa.. mimpi ketinggian..","yes"
"109","salfok sama kaki, tapi cantik banget asli","no"
"110","@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…","yes"
"111","atas bawah hitam putih, kek kopi luwak","yes"
"112","Palsu badane diedit semua tu, aslinya dimana2 lemak","yes"
"113","Udah dapat kontrak dari skincare ttp aja buluk mel","yes"
"114","heran sama netizen klo gk suka jangan diliat aja","no"
"115","sukses selalu yah ka @rosameldianti_ semangat","no"
"116","Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang","no"
"117","sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_","yes"
"118","Berkarya teros meldi walo ga ada yg nuntun kamu.","no"
"119","Astaghfirullah, seram sekali ya bun seperti ular jelmaan makhluk halus ya bun","yes"
"120","Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.","no"
"121","Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..","yes"
"122","Matanya kayak katarak anjir AHAHAH","yes"
"123","Caption aja COPAS! Cantumin credit dong, dasar iblis","yes"
"124","Unfoll aja daripada kalian dosa ngebully2 terus..","no"
"125","Meldi aku perhatikan kamu seperti orang china deh.. cantik","no"
"126","Editan softlensnya keluar itu mbaknya, kayak ratu titisan ular kamu wkwkwk","yes"
